关键词,店铺名称,地理位置,产品名称,产品价格,付款人数,商品ID,浏览停留时间(min),同类商品浏览次数,评论数,收藏数
电炒锅,supor苏泊尔尚讯专卖店,浙江杭州,苏泊尔电炒锅多功能蒸煮宿舍电煮锅炒菜电热火锅家用大容量一体式,339,5500+人付款,6.37426E+11,2,0,4305,2760
电炒锅,苏泊尔海淮专卖店,上海,苏泊尔电炒锅多功能蒸煮宿舍学生锅电煮锅炒菜炒锅一体式火锅家用,209,2877人付款,6.29444E+11,5,6,791,2040
电炒锅,丰腾旗舰店,浙江金华,电热锅多功能家用电火锅麦饭石电炒锅蒸煮饭一体式不粘电锅炒菜锅,208,5000+人付款,5.96858E+11,5,9,671,3741
电炒锅,olayks旗舰店,广东中山,olayks出口原款电煮锅宿舍学生多功能家用小电锅煮面小型电热火锅,109,3.0万+人付款,6.05538E+11,12,4,129,7369
电炒锅,苏泊尔红成好运专卖店,北京,苏泊尔鸳鸯电火火锅锅家用多功能一体锅电热锅电炒锅小电锅电煮锅,209,4248人付款,6.0329E+11,10,9,2796,7874
电炒锅,迈达斯电器专营店,浙江金华,电炒锅多功能电炒菜炒锅一体式电煮锅家用电炒祸麦饭石插电不粘锅,138,2175人付款,5.74762E+11,14,7,3205,4558
电炒锅,长虹德闻专卖店,浙江杭州,长虹多功能电炒锅电热火锅锅家用电锅学生蒸煮宿舍饭烧烤一体锅,99,1.0万+人付款,5.79433E+11,13,11,2534,1773
电炒锅,惠当家山东专卖店,山东济南,惠当家电炒锅家用多功能电热锅铸铁电锅煮饭蒸炖一体式插电炒菜锅,158,6000+人付款,5.69298E+11,14,7,1926,3049
电炒锅,qnnq旗舰店,广东潮州,电锅多功能电火锅家用小电锅学生宿舍煮面小锅电炒锅一体锅电煮锅,39.9,1.0万+人付款,6.14504E+11,6,9,820,7169
电炒锅,小浣熊电器旗舰店,广东中山,小浣熊电煮锅宿舍学生多功能家用电炒一体炒煮两用小型煮面小电锅,149,4663人付款,6.4601E+11,9,8,2582,1195
电炒锅,苏泊尔天居专卖店,四川成都,苏泊尔电煮锅宿舍学生锅多功能小电锅小功率电热火锅煮面神器家用,79,7000+人付款,6.27874E+11,8,0,3376,5324
电炒锅,tb878513148,广东潮州,电煮锅多功能家用学生宿舍煮面小电锅电炒菜炒锅蒸煮一体锅电火锅,49.9,4.5万+人付款,5.99688E+11,7,11,4015,2784
电炒锅,惠当家旗舰店,山东济南,惠当家多功能电热锅炒菜家用火锅蒸锅小电炒锅煎炒蒸煮锅一体电锅,109,2299人付款,45044424571,14,5,1935,4430
电炒锅,小熊电器官方旗舰店,广东东莞,小熊电火火锅大容量锅家用多功能一体式电热锅电炒锅电煮锅不粘锅,159,4257人付款,6.26604E+11,4,13,4109,4407
电炒锅,tb841346061,广东潮州,电煮锅学生宿舍煮面小电锅多功能家用电炒菜炒锅蒸煮一体锅电火锅,39.9,1.5万+人付款,6.37004E+11,6,16,2716,657
电炒锅,馨乐生活馆,广东潮州,电煮锅学生宿舍煮面小电锅多功能家用电炒菜炒锅蒸煮一体锅电火锅,29.9,1.0万+人付款,6.46543E+11,6,18,2378,1630
电炒锅,苏泊尔淘乐美专卖店,上海,苏泊尔鸳鸯电火锅锅多功能一体锅家用分体式火锅专用锅电锅宿舍锅,409,1331人付款,6.46751E+11,10,0,2684,2979
电炒锅,长虹德闻专卖店,浙江杭州,长虹多功能电炒锅电热火锅锅家用电锅学生蒸煮宿舍饭烧烤一体锅,99,1.0万+人付款,5.79433E+11,1,9,4783,7006
电炒锅,懒人家居生活购物,浙江金华,电炒锅多功能家用电炒菜炒锅一体式不粘锅宿舍插电大功率爆炒电锅,108,2013人付款,6.41116E+11,13,17,4094,6774
电炒锅,迈达斯电器专营店,浙江金华,电炒锅多功能电炒菜炒锅一体式电煮锅家用电炒祸麦饭石插电不粘锅,138,2175人付款,5.74762E+11,12,17,3965,2616
电炒锅,苏宁易购官方旗舰店,江苏南京,小浣熊电火锅家用多功能网红宿舍煮锅煮面炒菜蒸炒煎煮一体锅175,109,2380人付款,5.9513E+11,13,9,2432,2360
电炒锅,天天特卖工厂店,浙江杭州,电煮锅宿舍学生锅多功能家用电炒锅小型迷你一体蒸炒煮面电热火锅,49,3870人付款,6.50486E+11,12,10,3336,1758
电炒锅,咖啡威威,广东广州,小米有品电煮锅宿舍锅学生家用多功能一体煮面电热火锅小型电炒锅,89,3697人付款,6.47455E+11,14,2,892,3087
电炒锅,midea美的生活电器专卖店,安徽芜湖,美的多功能宿舍学生小电锅迷你寝室小型功率煮面煮锅神器家用火锅,89,5500+人付款,6.16501E+11,10,15,2550,3211
电炒锅,九阳厨房电器旗舰店,上海,九阳电炒锅宿舍学生锅多功能家用一体小型电煮锅炒菜煮面电热火锅,99.9,2067人付款,6.20055E+11,6,15,4276,2326
电炒锅,苏泊尔惠宝专卖店,浙江杭州,苏泊尔电煮锅电火火锅锅家用宿舍学生锅分体式多功能电炒热一体锅,139,2958人付款,6.2859E+11,1,1,3475,5240
电炒锅,美的官方旗舰店,广东广州,美的电火锅锅家用多功能一体式电热锅电炒锅电煮锅炒菜电锅不粘锅,159,8000+人付款,5.52623E+11,12,13,359,6630
电炒锅,苏泊尔厨房电器旗舰店,上海,苏泊尔电蒸锅家用小型迷你多功能小蒸锅三层电蒸笼早餐机炒菜炒锅,409,1222人付款,6.43072E+11,11,14,4159,1718
电炒锅,苏泊尔厨房电器旗舰店,上海,苏泊尔电火锅锅家用多功能一体式电锅鸳鸯电热锅电炒锅电煮锅炒菜,319,1409人付款,6.2649E+11,1,13,4475,7770
电炒锅,美的官方旗舰店,安徽芜湖,美的电炒锅家用炒菜多功能炒锅火锅宿舍学生锅蒸煮一体式电煮锅,149,2722人付款,6.51825E+11,6,5,448,1973
电炒锅,supor苏泊尔兆洪专卖店,上海,苏泊尔电煮锅家用宿舍分体式多功能电炒菜炒小火火锅烧烤一体热锅,149,1893人付款,6.44711E+11,13,5,3021,3275
电炒锅,苏泊尔淘乐美专卖店,上海,苏泊尔电火火锅锅家用多功能料理锅一体锅烧烤肉网红锅煮炒菜热锅,309,1244人付款,6.12623E+11,3,13,1515,6195
电炒锅,小月肖890317,浙江杭州,苏泊尔电炒菜炒锅多功能蒸煮宿舍电煮锅电热火锅家用麦饭石一体式,139,1489人付款,6.44201E+11,11,1,1033,983
电炒锅,艾苏恩电器旗舰店,广东潮州,双锅电煮锅分离分体式学生宿舍锅家用多功能迷你小电锅煮面小火锅,159,1480人付款,6.47236E+11,13,10,2883,2056
电炒锅,苏宁易购官方旗舰店,江苏南京,美的电火锅锅家用分体式多功能电火电热电煮锅4-6人宿舍锅【342】,309,3607人付款,6.05303E+11,7,16,3164,771
电炒锅,荣事达小家电旗舰店,陕西西安,荣事达电炒锅家用铸铁一体式电炒菜炒锅多功能电煮锅电热火锅电锅,209,1073人付款,6.40128E+11,3,3,4183,4755
电炒锅,懒人家居生活购物,浙江金华,电炒锅多功能家用电炒菜炒锅一体式不粘锅宿舍插电大功率爆炒电锅,108,2013人付款,6.41116E+11,12,17,3120,3634
电炒锅,苏泊尔淘乐美专卖店,上海,苏泊尔鸳鸯电火火锅锅家用插电多功能一体锅火锅专用锅宿舍学生锅,219,1255人付款,5.77597E+11,3,13,1796,5829
电炒锅,九阳合千润专卖店,河南郑州,九阳便携式折叠电煮火锅宿舍学生锅小型煮面锅旅行出差一人食电锅,229,1889人付款,6.43439E+11,4,13,1721,863
电炒锅,九阳官方旗舰店,浙江杭州,九阳多功能一体锅学生宿舍电火锅小功率电煮锅蒸锅家用煮面锅G71,54,2518人付款,5.90211E+11,3,11,2450,4771
电炒锅,美的好客专卖店,安徽芜湖,美的电煮锅学生宿舍家用多功能一体电炒锅小电锅煮面电热火锅2人3,79,3213人付款,6.16594E+11,3,10,3550,3495
电炒锅,非凡创客科技体验店,广东深圳,小米有品电热火锅小型多功能电煮锅家用宿舍一体锅蒸锅两人电炒锅,129,1801人付款,6.50479E+11,2,4,4243,3980
电炒锅,ayp旗舰店,广东佛山,德国AYP智能不锈钢电蒸锅多功能家用三层大容量火锅自动断电小型,189,1368人付款,6.46519E+11,2,8,602,4829
电炒锅,九阳官方旗舰店,浙江杭州,九阳电火锅E18家用鸳鸯锅烧烤肉一体多功能锅大容量插电热电煮锅,299,663人付款,6.12606E+11,4,0,2421,4088
电炒锅,美菱酷玛专卖店,浙江金华,美菱多功能电炒锅电热火锅家用电锅学生宿舍电煮锅炒菜烧烤一体锅,89,2856人付款,6.05183E+11,5,8,4718,1626
电炒锅,富光旗舰店,安徽合肥,富光电煮锅宿舍学生煮面锅蒸炒家用多功能小型寝室网红迷你电火锅,49.9,3163人付款,6.45851E+11,1,9,1943,3583
电炒锅,supor苏泊尔尚讯专卖店,浙江杭州,苏泊尔多功能电热锅家用电炒锅电锅电火锅锅蒸煮一体锅炒菜电煮锅,409,830人付款,6.04243E+11,11,2,655,2744
电炒锅,聪米旗舰店,广东佛山,[速嗨锅]聪米电煮锅宿舍学生多功能蒸煮炒一体煮面锅小型电热火锅,149,2960人付款,6.45737E+11,10,17,2654,2448
电炒锅,小熊永维专卖店,上海,小熊电火锅锅家用多功能一体锅电热锅分体式电煮锅炒菜不粘电炒锅,119,2352人付款,6.50855E+11,13,15,2663,1377
电炒锅,炎兴旗舰店,广东中山,电煮锅多功能家用小锅小功率学生宿舍煮面火锅1人2小型迷你小电锅,15.5,1.5万+人付款,6.25619E+11,14,2,3530,5571
电炒锅,天天特卖工厂店,浙江杭州,宿舍学生家用多功能一体锅电热火锅小电锅电煮锅不粘电炒锅煮面锅,49,3926人付款,6.49985E+11,7,19,1974,7207
电炒锅,美的生活电器旗舰店,安徽芜湖,美的电煮锅学生宿舍家用多功能电炒锅一体不粘锅煮面小型电热火锅,109,1230人付款,6.509E+11,11,6,3241,7317
电炒锅,九阳丰菓专卖店,广东佛山,九阳电煮锅宿舍学生锅多功能一体锅家用小电锅小功率煮面电热火锅,59.9,5000+人付款,6.32428E+11,2,18,3260,3975
电炒锅,愚厨旗舰店,山东淄博,电炒锅多功能家用不粘锅炒菜电热锅插电用火锅煮锅蒸煮一体式铁锅,98,1863人付款,6.32345E+11,1,5,1986,1568
电炒锅,万佳宴旗舰店,山东滨州,电炒锅多功能家用电煮锅插电铁电热锅一体式加深大功率电炒菜炒锅,98,1805人付款,6.15161E+11,3,5,3188,584
电炒锅,乐炖旗舰店,广东中山,宿舍电锅小多功能电煮锅学生家用小型锅子迷你电热锅火锅一体单人,39.9,5500+人付款,6.22158E+11,13,1,2785,5142
电炒锅,惠当家旗舰店,山东济南,惠当家电炒锅家用多功能电热锅铸铁电锅煎蒸煮炖一体式插电炒菜锅,198,1119人付款,43680886441,7,7,4772,6569
电炒锅,大众品牌电锅,山东滨州,多功能电热锅电火锅家用电炒锅煮面锅多用学生宿舍一体小电锅蒸炖,35,3768人付款,43008330243,9,9,4871,5594
电炒锅,小熊电器官方旗舰店,湖南衡阳,小熊电煮锅小电锅宿舍学生锅多功能蒸煮小锅煮面神器小型火锅家用,139,1114人付款,5.61511E+11,9,13,3653,6576
电炒锅,小熊宜家宜居专卖店,湖南湘潭,小熊电炒锅炒菜一体式插电煎锅家用宿舍多功能小型不粘锅蒸炒煎煮,139,1674人付款,6.30017E+11,4,17,3301,6214
电炒锅,七彩叮当旗舰店,广东佛山,七彩叮当电煮锅炒锅多功能一体家用小型煮面宿舍学生电锅电热火锅,139,3110人付款,6.39853E+11,9,0,2028,3035
电炒锅,懒人家居生活购物,浙江金华,电炒锅多功能家用电炒菜炒锅一体式不粘锅宿舍插电大功率爆炒电锅,108,2013人付款,6.41116E+11,9,8,4369,3735
电炒锅,迈达斯电器专营店,浙江金华,电炒锅多功能电炒菜炒锅一体式电煮锅家用电炒祸麦饭石插电不粘锅,138,2175人付款,5.74762E+11,1,19,3088,2053
电炒锅,长虹德闻专卖店,浙江杭州,长虹多功能电炒锅电热火锅锅家用电锅学生蒸煮宿舍饭烧烤一体锅,99,1.0万+人付款,5.79433E+11,2,4,2943,6821
电炒锅,苏泊尔官方旗舰店,上海,苏泊尔电炒锅家用多功能炒菜炒锅火锅宿舍学生锅蒸煮一体式电煮锅,159,1065人付款,6.46711E+11,5,10,2638,2176
电炒锅,嘉泰多星电器旗舰店,山东淄博,电炒菜炒锅多功能家用不粘锅电炒锅电热火锅蒸煮一体式插电用炒锅,98,1819人付款,6.2999E+11,12,18,2461,3352
电炒锅,苏泊尔官方旗舰店,上海,苏泊尔电蒸锅多功能电煮锅家用电热锅电蒸笼电炒锅大容量蒸菜神器,319,413人付款,6.02541E+11,10,18,4576,7202
电炒锅,康雅顺以诺专卖店,广东潮州,电煮锅宿舍学生锅多功能网红电锅煮饭炒菜一体锅家用煮面锅火锅锅,27.9,6500+人付款,6.27474E+11,0,3,284,4178
电炒锅,苏泊尔天居专卖店,四川成都,苏泊尔电火锅家用多功能分体式电煮锅一体电热锅可烧烤炒菜不粘锅,179,1409人付款,6.49008E+11,5,5,1555,5403
电炒锅,oidire旗舰店,广东广州,德国OIDIRE电煮锅火火锅家用多功能一体炒锅学生宿舍小功率小电锅,109,3019人付款,6.38822E+11,4,9,961,2846
电炒锅,小熊电器官方旗舰店,湖南衡阳,小熊电煮锅小型宿舍学生锅家用多功能一体锅迷你小电锅电热锅炒锅,109,1616人付款,6.01886E+11,3,3,672,6077
电炒锅,supor苏泊尔尚讯专卖店,浙江杭州,苏泊尔电煮锅宿舍学生锅多功能泡面小电锅小功率电热火锅3家用2人,209,2100人付款,6.42114E+11,1,11,1682,5119
电炒锅,淄博邦信商贸,山东淄博,电锅多功能家用电热炒菜锅小宿舍蒸煮饭煎炒两用插电一体式火锅锅,68,2300人付款,5.72661E+11,13,17,3471,3841
电炒锅,赫悦旗舰店,浙江金华,赫悦电炒锅不粘锅多功能电炒菜锅电用炒锅插电锅电热锅家用,158,899人付款,6.2246E+11,11,15,4257,6333
电炒锅,mezim电器旗舰店,广东佛山,MEZIM电煮锅小2人家用出差宿舍便携一体式预约定时炒蒸多功能火锅,99.9,1580人付款,6.47941E+11,5,15,3449,3729
电炒锅,七彩叮当旗舰店,广东佛山,七彩叮当电煮锅多功能电锅宿舍学生一体锅小型炒锅电热火锅锅家用,179,1757人付款,6.3883E+11,10,5,2260,4976
电炒锅,比比特专卖,广东潮州,宿舍学生小电锅多功能家用煮面小锅子小型火锅单人迷你电煮锅一体,19.5,1.0万+人付款,6.33963E+11,4,1,1446,1967
电炒锅,茁美电器旗舰店,广东中山,茁美宿舍学生电煮锅煮面多功能一体锅小电锅火锅家用小型寝室小锅,29.9,3851人付款,5.96227E+11,3,8,1674,3471
电炒锅,富贵厨王旗舰店,山东滨州,铸铁电炒锅多功能电热锅家用插电炒菜煮饭不粘两用炒煎蒸煮炖一体,138,1252人付款,6.09695E+11,6,17,4015,460
电炒锅,菲尔电器专营店,山东淄博,山东多星锅官方旗舰店正品电锅家用电炒锅多功能电蒸锅多星电热锅,288,481人付款,6.04098E+11,14,18,4492,4326
电炒锅,沁味品牌工厂店,浙江金华,电炒锅家用一体式电炒菜炒锅多功能电锅电煮锅插电用不粘锅电热锅,108,1368人付款,6.37018E+11,2,17,1707,899
电炒锅,美的生活电器旗舰店,广东佛山,美的电热锅火锅家用蒸煮炒煎烧烤多功能一体锅宿舍插电学生电煮锅,159,716人付款,5.54292E+11,11,4,3424,3191
电炒锅,苏泊尔厨房电器旗舰店,上海,苏泊尔电煮锅电火锅锅多功能一体锅家用小火锅蒸煮炒煎宿舍锅学生,209,1898人付款,6.42838E+11,7,8,3142,4058
电炒锅,苏泊尔厨房电器旗舰店,上海,苏泊尔电火火锅家用多功能料理一体锅蒸煮炒煎涮烤网红电锅电煮锅,409,798人付款,6.4284E+11,5,0,4723,5302
电炒锅,美的官方旗舰店,安徽芜湖,美的多功能可拆洗家用电火锅电煮锅大容量可分体不粘电热锅151,179,1541人付款,6.05097E+11,3,10,1957,6877
电炒锅,supor苏泊尔惠林专卖店,广东广州,苏泊尔电蒸锅家用小型多功能三层蒸笼全自动断电预约炒菜锅小蒸锅,409,918人付款,6.33465E+11,1,11,2801,1458
电炒锅,九阳官方旗舰店,浙江杭州,九阳电火锅G7家用多功能8L大容量烤鱼盘插电电热锅烧烤锅炒锅,199,842人付款,5.88214E+11,11,6,1960,4705
电炒锅,苏泊尔官方旗舰店,上海,苏泊尔电火锅家用多功能火锅锅宿舍学生锅电热锅煮面锅鸳鸯电煮锅,289,491人付款,6.27691E+11,3,17,1851,54
电炒锅,小熊电器官方旗舰店,湖南衡阳,小熊电煮锅多功能电火锅宿舍学生锅分体式迷你电锅火锅家用电热锅,239,911人付款,5.93417E+11,0,3,675,3809
电炒锅,惠当家山东专卖店,山东济南,惠当家多功能电炒锅电用炒锅家用电热锅铸铁电锅电炒菜蒸煮一体锅,348,512人付款,5.43071E+11,14,11,3504,101
电炒锅,sunchance电器旗舰店,广东深圳,电热锅多功能家用网红火锅小型迷你学生宿舍锅一体电煮锅炒菜炒锅,69.9,2416人付款,6.20196E+11,2,4,4740,6728
电炒锅,美的生活电器旗舰店,安徽芜湖,美的多功能宿舍学生小电锅迷你寝室小功率煮面神器家用火锅小煮锅,69,1360人付款,5.87975E+11,2,14,4171,3930
电炒锅,乐炖旗舰店,广东中山,电煮锅宿舍学生锅火锅多功能一体小炒锅家用煮面电热锅蒸煮炖煎炒,159,1056人付款,6.50458E+11,7,13,2743,1318
电炒锅,春景嘉旗舰店,山东滨州,不粘锅电炒锅家用定时多功能电热锅电火锅煮饭蒸炖一体式插电炒菜,98,1327人付款,6.4888E+11,7,6,4489,7335
电炒锅,苏泊尔生活电器旗舰店,浙江杭州,苏泊尔多功能料理锅家用电火锅锅烤肉烧烤一体锅网红早餐锅分体锅,389,200人付款,6.31102E+11,3,15,1296,4315
电炒锅,贵派仕厨房电器旗舰店,浙江金华,贵派仕家用电炒锅不粘锅电锅多功能电炒菜炒锅一体式电煮锅宿舍锅,139,1371人付款,6.42656E+11,0,17,1791,644
电炒锅,天天特卖工厂店,浙江杭州,电炒锅多功能家用锅寝室宿舍神器学生锅小电饭锅迷你电煮锅1-2人,24.8,5500+人付款,6.09942E+11,2,0,2306,5834
电炒锅,美的官方旗舰店,广东广州,美的电火锅锅家用多功能分体式电煮锅电锅小电炒锅埚电热锅蒸501,309,580人付款,5.79814E+11,7,7,4556,4017
电炒锅,九阳小阳专卖店,北京,九阳电火锅锅家用分体式电用多功能专用锅分锅体电热火锅一体煮锅,179,1021人付款,6.4713E+11,3,7,4695,626
电炒锅,苏泊尔官方旗舰店,上海,苏泊尔电火锅迷你家用宿舍学生电蒸锅多功能电煮锅蒸煮炒煎小电锅,179,575人付款,6.28095E+11,4,3,1847,7109
电炒锅,supor苏泊尔兆洪专卖店,上海,苏泊尔电热火锅锅分体式家用插电多功能可拆洗电煮锅大容量料理煎,409,285人付款,6.36871E+11,7,11,2955,1342
电炒锅,九阳厨房电器旗舰店,广东广州,九阳多功能电火锅烧烤一体锅火锅家用插电炒锅煮连体韩式4-6-10人,209,391人付款,5.77247E+11,14,9,1598,3603
电炒锅,苏泊尔海淮专卖店,上海,苏泊尔电火锅锅家用电煮锅电锅煎炒一体式电热锅多功能电炒锅专用,159,1107人付款,6.03309E+11,5,17,2391,5613
电炒锅,米家好物严选,广东佛山,小米有品电煮锅多功能一体锅宿舍学生锅家用小白锅陶瓷油小电炒锅,139,1901人付款,6.44398E+11,2,0,3629,2571
电炒锅,ernte丽克特专卖店,浙江宁波,ERNTE电煮锅宿舍锅小绿锅多功能一人食电火锅小电锅家用单人迷你,618,338人付款,6.24892E+11,8,12,2774,1389
电炒锅,懒人家居生活购物,浙江金华,电炒锅多功能家用电炒菜炒锅一体式不粘锅宿舍插电大功率爆炒电锅,108,2013人付款,6.41116E+11,0,6,4352,2843
电炒锅,迈达斯电器专营店,浙江金华,电炒锅多功能电炒菜炒锅一体式电煮锅家用电炒祸麦饭石插电不粘锅,138,2175人付款,5.74762E+11,8,4,2039,4720
电炒锅,长虹德闻专卖店,浙江杭州,长虹多功能电炒锅电热火锅锅家用电锅学生蒸煮宿舍饭烧烤一体锅,99,1.0万+人付款,5.79433E+11,11,17,2685,52
电炒锅,安家乐旗舰店,广东中山,安家乐宿舍学生煮面小型小电锅火锅锅家用多功能一体迷你寝室小锅,49.9,2429人付款,5.69079E+11,8,7,3863,2443
电炒锅,小南瓜电器旗舰店,广东中山,小南瓜电煮锅多功能家用分体式宿舍学生小型火锅蒸煮煎炒一体电锅,169,861人付款,6.33425E+11,6,10,4183,7806
电炒锅,美的生活电器旗舰店,安徽芜湖,美的电火锅宿舍锅学生锅电炒菜炒锅分体式电煮锅小电锅多功能家用,129,674人付款,6.51453E+11,9,7,4880,566
电炒锅,富贵厨王旗舰店,山东滨州,304多功能电热锅炒菜家用蒸锅2-3人小电炒锅宿舍蒸煮炖炒炸煎一体,79,1801人付款,6.18443E+11,2,16,4922,7887
电炒锅,多星万佰乐专卖店,山东烟台,山东多星锅官方旗舰店正品电锅家用电炒锅一体锅多功能多星电热锅,288,414人付款,6.17374E+11,12,5,2393,5039
电炒锅,亿用旗舰店,辽宁沈阳,分离式电炒菜炒锅家用电煮锅分体式蒸炖一体电锅铸铁多功能电炒锅,269,538人付款,6.43236E+11,5,18,2784,5395
电炒锅,oidire旗舰店,广东广州,德国OIDIRE电煮锅炒锅煮面家用多功能一体宿舍学生小电锅电热火锅,119,1505人付款,6.25108E+11,12,6,2451,5705
电炒锅,blaupunkt旗舰店,广东中山,德国蓝宝智能自动升降电火锅家用多功能料理锅分一体电热锅电煮锅,759,189人付款,6.11502E+11,0,15,1418,2749
电炒锅,ernte丽克特专卖店,浙江宁波,德国ERNTE电煮锅宿舍分体式锅小火锅多功能一体锅家用电热一人锅,599,210人付款,6.29748E+11,0,15,1614,4623
电炒锅,小熊悠品专卖店,广东佛山,小熊电煮锅火锅锅宿舍学生锅多功能一体锅小型电锅家用炒菜电炒锅,149,1867人付款,6.49813E+11,1,9,3390,5494
电炒锅,小熊电器官方旗舰店,湖南衡阳,小熊电火火锅锅家用多功能一体锅插电炒菜炒锅鸳鸯电锅小型电煮锅,199,539人付款,6.33292E+11,5,16,1913,4498
电炒锅,美的猫哥专卖店,安徽芜湖,美的电火锅锅家用插电多功能电热炒锅宿舍炒菜烧烤涮一体锅电煮锅,129,2747人付款,6.45504E+11,9,5,4431,3473
电炒锅,小浣熊惠生活专卖店,广东中山,小浣熊多功能电煮锅家用宿舍学生小电锅蒸煮炒锅小锅一体小型人2l,79,1679人付款,6.00411E+11,13,12,3472,7338
电炒锅,碧秀森旗舰店,广东潮州,电煮锅宿舍学生多功能一体电热锅家用煮饭蒸煮炖炒菜电炒锅小火锅,59.9,2428人付款,6.51036E+11,10,7,3252,3359
电炒锅,九阳官方旗舰店,浙江杭州,九阳电蒸锅多功能家用火锅不锈钢三层加厚预约蒸菜馒头大容量C10,359,200人付款,6.15153E+11,11,9,1445,948
电炒锅,大明艺,广东潮州,电炒锅一体炒菜蒸煮锅多功能家用小型不粘锅宿舍煮菜插电1-2人3-4,89,1341人付款,6.16656E+11,8,7,853,4660
电炒锅,midea美的北京专卖店,北京,美的多功能家用电火锅锅分体式大容量电煮炒锅电热料理煎烤锅电锅,299,592人付款,5.87975E+11,14,6,3042,4828
电炒锅,郮村生活电器旗舰店,山东淄博,商用电热锅特大号大容量功率食堂工地电炒锅多功能电锅蒸煮炒菜锅,199,410人付款,6.49275E+11,14,3,1234,6742
电炒锅,苏泊尔新合润专卖店,浙江杭州,苏泊尔电炒锅家用多功能炒菜火锅电煮锅宿舍学生锅蒸煮一体式2人1,129,1118人付款,6.4057E+11,14,3,4628,719
电炒锅,志高奇好专卖店,山东潍坊,Chigo/志高多功能电热锅家用炒菜电锅一体锅电蒸煮锅宿舍火锅煮面,73,1056人付款,5.7248E+11,2,12,763,6784
电炒锅,美菱聚投专卖店,辽宁沈阳,美菱铸铁电炒锅家用一体式炒菜多功能不粘锅无涂层蒸煮插电热炒锅,169,534人付款,6.31344E+11,1,14,1983,1657
电炒锅,苏泊尔生活电器旗舰店,浙江杭州,苏泊尔多功能锅蒸煮炒煎电火锅锅家用分体式炒菜涮烤一体锅网红,409,148人付款,6.45379E+11,2,15,844,5461
电炒锅,易果电器旗舰店,广东潮州,锅宿舍学生电热锅小型电煮锅寝室煮面泡面一人食小锅单人小电锅,59.9,2445人付款,6.477E+11,12,13,2953,7800
电炒锅,qnnq旗舰店,广东潮州,电煮锅多功能家用电火锅学生宿舍煮面小电锅炒菜煮饭一体锅火锅,19.9,5500+人付款,6.45238E+11,1,14,2518,510
电炒锅,苏宁易购官方旗舰店,广东深圳,羿彩526电煮锅宿舍学生多功能一体锅家用小型火锅电炒煮面电热锅,79,1529人付款,6.5066E+11,11,15,1983,304
电炒锅,御颖旗舰店,广东中山,电煮锅家用多功能小电锅宿舍学生煮面炒菜一体电炒锅小型电热火锅,79,1575人付款,6.4604E+11,10,17,3361,5341
电炒锅,利仁电器旗舰店,北京,利仁电火锅锅家用电炒菜炒锅多功能一体锅电热锅电炒不粘锅电煮锅,119,546人付款,37157910394,9,0,1092,6111
电炒锅,森申电器旗舰店,浙江杭州,森申鸳鸯电火火锅锅家用插电大容量多功能烧烤一体盆电热锅电煮锅,69,1293人付款,6.02197E+11,7,5,592,1732
电炒锅,筱发旗舰店,广东潮州,电炒菜炒锅多功能一体电煮锅家用电火锅宿舍学生锅寝室煮面小电锅,29.9,3467人付款,6.14082E+11,1,6,4516,6672
电炒锅,苏泊尔厨房电器旗舰店,上海,苏泊尔多功能料理锅家用电火锅锅烤肉烧烤一体锅网红早餐锅分体锅,419,356人付款,6.38772E+11,13,10,2853,2421
电炒锅,苏泊尔厨房电器旗舰店,上海,苏泊尔电炒菜蒸煮炖炒锅家用多功能一体式大容量不粘铸铁电热火锅,329,228人付款,6.51206E+11,8,10,1633,549
电炒锅,苏泊尔官方旗舰店,上海,苏泊尔蒸锅多功能家用三层电蒸锅304不锈钢笼屉大容量早餐机炒菜,319,379人付款,6.31449E+11,5,18,2289,1735
电炒锅,美的生活电器旗舰店,广东佛山,美的鸳鸯电火锅家用电煮锅宿舍锅学生锅电热锅小电锅多功能一体锅,139,1508人付款,5.59434E+11,8,13,2812,418
电炒锅,苏泊尔官方旗舰店,上海,苏泊尔电煮锅煮面宿舍小火锅电热锅煮锅迷你多功能学生锅小锅家用,69,846人付款,5.87792E+11,13,15,3027,3175
电炒锅,美的官方旗舰店,安徽芜湖,美的电蒸锅401多功能家用电煮锅电热蒸汽锅3层大容量电蒸笼消毒,199,293人付款,5.69923E+11,10,0,1699,1811
电炒锅,苏泊尔生活电器旗舰店,浙江杭州,苏泊尔电火火锅家用多功能锅一体大火力炒菜煎烤煮锅炖锅加大加深,209,236人付款,6.27866E+11,5,6,3924,2718
电炒锅,美的官方旗舰店,安徽芜湖,美的电火锅锅家用多功能分体式可拆洗电热锅电炒锅电煮锅炒菜电锅,319,290人付款,6.27941E+11,0,18,3405,101
电炒锅,九阳杭州专卖店,浙江杭州,九阳鸳鸯锅电火火锅锅家用电磁炉一体多功能电热电煮锅烤肉一体锅,499,314人付款,5.92745E+11,8,10,774,600
电炒锅,摩飞电器旗舰店,广东佛山,英国摩飞多功能料理锅轻煮圆形网红锅电烧烤肉锅炉一体家用电火锅,649,89人付款,6.12219E+11,8,6,1964,3111
电炒锅,小熊电器官方旗舰店,湖南衡阳,小熊电火火锅家用多功能料理锅煎锅烤锅小型电煮锅烧烤一体锅,639,129人付款,6.31335E+11,9,17,3967,4128
电炒锅,懒人家居生活购物,浙江金华,电炒锅多功能家用电炒菜炒锅一体式不粘锅宿舍插电大功率爆炒电锅,108,2013人付款,6.41116E+11,12,10,3558,7974
